회사명,종목코드,폐지일자,폐지사유,label
엘케이엔씨,047420,2006-07-13,감사의견 범위제한 의견거절,1
휘튼,066480,2006-04-25,감사의견거절(상장폐지사유발생일 : 2006년 4월 10일),1
세니콘,056060,2006-04-08,감사범위제한으로 인한 의견거절(상장폐지사유 발생일 : 2006년 03월 27일),1
아이티센네트웍스,057110,2005-10-22,"최근사업연도말 현재 자본잠식률 100분의50이상의 사유로 관리종목지정된 후, 최근 반기말기준으로 감사의견거절 및 반기말 자본잠식률이 100분의 50 이상",1
알루코,021570,2005-10-13,최종부도(상장폐지사유 발생일 : 2005년 09월 27일),1
이지클럽,038980,2005-09-10,최근사업연도말 기준 자본잠식률 100분의 50이상의 사유로 관리종목지정 후 법정제출기한 다음날로부터 10일이내 반기보고서 미제출,1
파워넷,037030,2005-08-31,최근사업연도말 현재 자본잠식률 100분의50이상의 사유로 관리종목지정 후 최근 반기말 현재 자본잠식률이 100분의 50이상,1
케이티씨텔레콤,055810,2005-08-13,최종부도(상장폐지사유 발생일 : 2005년 07월 29일),1
아이텍스필,008030,2005-06-02,최종부도(상장폐지사유 발생일 : 2005년 05월 02일),1
현주컴퓨터,038960,2005-05-11,최종부도(상장폐지사유 발생일 : 2005년 04월 25일),1
솔빛미디어,044440,2005-04-26,감사의견거절(상장폐지사유 발생일 : 2005년 04월 11일),1
후야인포넷,032050,2005-04-26,자본전액잠식(상장폐지사유 발생일 : 2005년 04월 11일),1
택산아이엔씨,036900,2005-04-23,감사의견거절,1
에스오케이,032610,2005-04-21,감사의견거절(상장폐지사유 발생일 : 2005년 04월 06일),1
BET,036820,2005-04-21,감사범위제한 한정(상장폐지사유 발생일 : 2005년 03월 21일),1
하우리,049130,2005-04-20,감사의견거절(상장폐지사유 발생일 : 2005년 03월 21일),1
케이엔티,036590,2005-04-16,자본전액잠식(상장폐지사유발생일 : 2005년 03월 31일),1
창민테크,042960,2005-04-13,감사의견거절(상장폐지사유 발생일 : 2005년 03월 28일),1
업필,054370,2005-04-12,감사의견거절(상장폐지사유 발생일 : 2005년 03월 26일),1
넥스텔,037220,2005-04-09,최종부도(상장폐지사유 발생일 : 2005년 03월 24일),1
아이엠아이티,038100,2005-04-08,감사의견거절(상장폐지사유 발생일 : 2005년 03월 23일),1
텔슨정보통신,018180,2005-04-07,감사의견거절(상장폐지사유 발생일 : 2005년 03월 22일),1
슈마,056500,2005-04-05,감사의견거절(상장폐지사유 발생일 : 2005년 03월 22일),1
성진산업,037650,2005-04-05,감사의견거절(상장폐지사유 발생일 : 2005년 03월 21일),1
한아시스템,036020,2005-04-02,감사의견 부적정(상장폐지사유 발생일 : 2005년 03월 21일),1
엔에스아이,053250,2005-04-02,감사의견거절(상장폐지사유 발생일 : 2005년 03월 19일),1
지니웍스,036600,2005-04-02,감사의견거절(상장폐지사유 발생일 : 2005년 03월 18일),1
맥시스템,036880,2005-03-31,감사의견거절(상장폐지사유 발생일 : 2005년 03월 16일),1
우주통신,054080,2005-03-30,감사의견거절(상장폐지사유 발생일 : 2005년 03월 15일,1
동방라이텍,025690,2005-03-12,감사의견거절(상장폐지사유 발생일 : 2005년 02월 24일),1
굿라이프5-MF,037500,2005-02-24,간접투자자산운용업법 제110조(구 증권투자회사법 제64조)에 의한 해산사유발생,1
지에스엔텍,037640,2005-01-24,최종부도(등록취소사유발생일 : 2005년 1월 7일),1
현대멀티캡,035910,2005-01-19,최종부도(등록취소사유발생일: 2005년 1월 4일),1
한신코퍼,037120,2004-10-21,감사의견 거절(취소사유발생일 : 2004년 9월 30일),1
테크메이트,043690,2004-10-16,최종부도(취소사유발생일: 2004년 10월 1일),1
한마음저축은행,025450,2004-10-07,감사의견부적정(취소사유발생일 : 2004년 9월 17일),1
모디아,046000,2004-08-11,감사의견부적정(취소사유발생일 : 2004년 3월 27일),1
텔슨전자,027350,2004-08-10,최종부도(취소사유발생일: 2004년 7월 26일),1
호성,035870,2004-06-12,최종부도(취소사유발생일 : 2004년 5월 28일),1
대흥멀티통신,037250,2004-05-11,최종부도(취소사유발생일 : 2004년 4월 23일),1
모닷텔,048150,2004-04-29,최종부도(취소사유발생일 : 2004년 4월 13일),1
3R,037730,2004-04-22,자본전액잠식(취소사유발생일 : 2004년 4월 6일),1
트래픽아이티에스,038050,2004-04-22,감사의견거절(취소사유발생일 : 2004년 3월 30일),1
코리아이앤디,027440,2004-04-14,감사의견거절(취소사유발생일 : 2004년 3월 29일),1
써미트,039000,2004-04-13,감사의견거절(취소사유발생일 : '04.3.26),1
엔써,037750,2004-04-13,감사의견거절(취소사유발생일 : '04.3.29),1
윌텍정보통신,039390,2004-04-09,감사의견거절(취소사유발생일 : 2004년 3월 24일),1
월드텔레콤,047610,2004-04-08,감사의견거절(취소사유발생일 : 2004년 3월 23일),1
한빛네트,036720,2004-04-08,감사의견거절(취소사유발생일 : 2004년 3월 23일),1
넷컴스토리지,037010,2004-04-08,감사의견거절(취소사유발생일 : 2004년 3월 23일),1
엠바이엔,031970,2004-04-07,감사의견거절(취소사유발생일:2004년 3월 22일),1
바이오시스,035960,2004-04-07,감사의견거절(취소사유발생일:2004년 3월 22일),1
피코소프트,039580,2004-04-07,감사의견거절(취소사유발생일:2004년 3월 22일),1
신한에스아이티,054530,2004-04-03,감사의견거절(취소사유발생일 : 2004년 3월 20일),1
디이시스,053200,2004-04-03,감사의견거절(취소사유발생일 : 2004년 3월 22일),1
엔플렉스,040130,2004-04-03,감사의견거절(취소사유발생일 : 2004년 3월 20일),1
동서정보기술,055000,2004-04-03,감사의견거절(취소사유발생일 : 2004년 3월 19일),1
삼화기연,033210,2004-03-31,감사의견거절(취소사유발생일 : 2004년 3월 15일),1
리더컴,056140,2004-03-30,감사의견거절(취소사유발생일 : 2004년 3월 15일),1
씨모스,037600,2004-03-24,감사의견거절(취소사유발생일:2004년 3월 9일),1
미래셀렉티브-MF,052540,2004-03-08,증권투자회사법 제64조에 의한 해산사유 발생,1
미래에셋오리엔탈혼합,067700,2004-01-05,증권투자회사법 제64조에 의한 해산사유 발생,1
애드모바일,032600,2003-10-30,자본전액잠식(2년),1
화림모드,045920,2003-10-17,최종부도 및 은행거래정지 (취소사유발생일: '03.10.1),1
으뜸저축은행,032150,2003-10-15,2사업년도 연속 자본잠식률 50% 이상(취소사유 발생일 : '03.9.29),1
다산씨앤아이,037200,2003-06-19,최종부도 및 은행거래정지 (취소사유발생일: 2003년 6월 3일),1
마이다스페안,045280,2003-06-11,증권투자회사법 제64조에 의한 해산사유 발생,1
파이오니어2-MF,045070,2003-05-23,증권투자회사법 제64조에 의한 해산사유 발생,1
유리프론티어-MF,045550,2003-05-23,증권투자회사법 제64조에 의한 해산사유 발생,1
마이차익3호-MF,067410,2003-05-08,증권투자회사법 제64조에 의한 해산사유 발생,1
이론테크,034980,2003-04-30,최종부도 및 은행거래정지 (취소사유발생일 : 2003년 4월 15일),1
테라,032780,2003-04-25,사업보고서 미제출 (취소사유발생일 : 2003년 4월 10일),1
벨로체피아노,040750,2003-04-24,감사의견 거절(취소사유발생일: '03.4.9),1
코리아링크,037410,2003-04-16,감사의견거절 및 최종부도 (취소사유발생일 : 2003년 4월 1일),1
어플라이드,053960,2003-04-15,감사의견거절(취소사유발생일: 2003년 4월 1일),1
올에버,034970,2003-04-15,감사의견거절(취소사유발생일 : 2003년 3월 31일),1
리타워텍,020860,2003-04-11,감사의견거절(취소사유발생일 : 2003년 3월 27일),1
KTB벤처2-MF,039370,2003-04-05,증권투자회사법 제64조의 규정에 의한 해산사유의 발생,1
스탠더드텔레,027890,2003-04-05,감사의견부적정(취소사유발생일:2003년 3월 21일),1
뉴씨앤씨,045240,2003-04-04,감사의견거절(취소사유발생일:2003년 3월 20일),1
태영텔스타,060840,2003-04-02,감사의견거절 (취소사유발생일 : 2003년 3월 18일),1
시스컴,037280,2003-03-29,최종부도 및 은행거래정지 (취소사유발생일 : 2003년 3월 14일),1
화인썬트로닉스,038520,2003-03-07,최종부도 및 은행거래정지 (취소사유발생일: 2003.2.20),1
유리크레디트회사채혼,051990,2003-01-21,증권투자회사법 제64조의 규정에 의한 해산사유의 발생,1
벤처코스닥,038280,2003-01-10,증권투자회사법 제64조의 규정에 의한 해산사유의 발생,1
KTB벤처1-MF,038370,2003-01-10,증권투자회사법 제64조의 규정에 의한 해산사유의 발생,1
티케이지애강,022220,2002-12-05,최종부도 및 은행거래정지,1
소프트윈,049790,2002-11-28,최종부도 및 은행거래정지,1
글로벌파워,064910,2002-11-27,증권투자회사법 제64조의 규정에 의한 해산사유의 발생,1
심스밸리,042470,2002-11-16,최종부도 및 은행거래정지,1
코닉스,017210,2002-11-14,최종부도 및 은행거래정지,1
유니씨앤티,040780,2002-10-18,최종부도 및 은행거래정지,1
아이씨켐,020490,2002-10-11,최종부도 및 은행거래정지,1
마이다스차익거래안정,060580,2002-09-14,증권투자회사법 제64조의 규정에 의한 해산사유 발생,1
미래에셋프리미어혼합,063680,2002-08-19,증권투자회사법 제64조의 규정에 의한 해산사유 발생,1
옵셔널벤처스,022780,2002-07-31,감사범위 제한으로 인한 한정의견,1
디지텔,037740,2002-07-08,최종부도 및 은행거래정지,1
유리세이프롱숏채권혼,058910,2002-07-03,증권투자회사법 64조에 의한 해산사유 발생,1
한빛전자통신,044570,2002-06-07,감사의견거절 및 법정제출기한 익일로부터 30일이내에 사업보고서 미제출,1
미래에셋P.B.2호펀드,066030,2002-05-21,증권투자회사법 64조에 의한 해산사유 발생,1
